Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9659696,2019-11-17 15:58:28+00:00,-20.10546667,118.5428533,1,7.976111111,25,24,Bulk Carrier,2013,180000,295,46,9,9,18.1
9644500,2019-08-30 15:59:07+00:00,-20.13676667,118.542985,1,7.976666667,17,29,Bulk Carrier,2012,107236,254.99,43,7,7,13.4
9603415,2019-04-08 07:59:59+00:00,-20.12296,118.560455,0,7.977222222,13,18,Bulk Carrier,2012,207867,300,50,9,9,18.22
9470923,2019-08-30 23:59:57+00:00,-20.11877333,118.5400417,1,7.977777778,15,29,Bulk Carrier,2008,177720,292,45,9,9,18.3
9678800,2019-04-11 07:58:48+00:00,-20.10667833,118.568395,1,7.978611111,15,21,Bulk Carrier,2013,206010,299.92,50,9,9,18.4
9702699,2019-08-09 07:59:32+00:00,-20.13853333,118.5381117,0,7.979166667,23,27,Bulk Carrier,2016,180940,292,45,9,9,18.3
9802413,2019-08-22 07:59:31+00:00,-20.12567333,118.5913117,1,7.979166667,26,23,Bulk Carrier,2016,36844,183,29.5,5,5,10.37
9500766,2019-09-12 07:58:38+00:00,-20.06890833,118.6024367,1,7.979444444,15,28,Bulk Carrier,2012,180643,291.9,45,9,9,18.07
9742728,2019-06-16 15:59:39+00:00,-20.10605667,118.5067633,1,7.979444444,31,30,Bulk Carrier,2018,209240,299.95,50,9,9,18.4
9551715,2020-01-24 15:58:19+00:00,-20.087615,118.5283667,1,7.979722222,35,28,Bulk Carrier,2013,180694,291.9,45,9,9,18.07
9673812,2019-11-21 07:58:46+00:00,-20.083335,118.5827433,1,7.98,19,22,Bulk Carrier,2013,206378,299.7,50,9,9,18.23
9753571,2019-10-17 07:59:55+00:00,-20.15077333,118.5213767,1,7.98,31,34,Ore Carrier,2018,261064,327,57,5,9,18.8
9346184,2019-11-03 15:59:33+00:00,-20.10728333,118.6067617,1,7.9825,20,41,Bulk Carrier,2007,203198,299.95,50,9,9,17.91
9778416,2019-08-31 15:59:29+00:00,-20.12318667,118.5428483,1,7.9825,14,25,Bulk Carrier,2017,207672,299.88,50,9,9,18.5
9476642,2019-03-31 15:58:08+00:00,-20.06533333,118.5687733,1,7.983055556,39,14,Bulk Carrier,2012,175247,291.8,45.02,9,9,18.25
9406453,2019-07-13 23:59:41+00:00,-20.11868333,118.5746,1,7.983333333,15,25,Bulk Carrier,2007,206312,299.94,50,9,9,18.1
9551727,2019-07-25 23:59:37+00:00,-20.07888333,118.536215,0,7.983611111,24,28,Bulk Carrier,2014,180694,291.9,45,9,9,18.07
9281906,2019-08-10 23:58:26+00:00,-20.15105,118.5328333,1,7.984444444,20,27,Bulk Carrier,2005,206237,299.94,50,9,9,18.1
9500742,2019-12-13 15:58:55+00:00,-20.10568167,118.5426867,1,7.985,18,30,Bulk Carrier,2011,180643,291.9,45,9,9,18.07
9731602,2019-07-11 23:59:15+00:00,-20.12573333,118.52136,1,7.985277778,17,29,Bulk Carrier,2016,209096,299.95,50,9,9,18.4
9278636,2019-07-05 07:59:13+00:00,-20.14983333,118.5368833,1,7.985833333,20,29,Bulk Carrier,2005,203195,299.95,50,9,9,17.91
9678800,2019-05-15 07:59:25+00:00,-20.15223333,118.53775,1,7.986388889,17,26,Bulk Carrier,2013,206010,299.92,50,9,9,18.4
